season,as_of_date,ranking_type,scoring_profile,league_size,position,position_rank,tier_number,tier_rank,tier_size,tier_value_multiplier,player_id,player_name,player_slug,team,bye_week,age,experience,adp_round_pick,adp_overall,risk_score,upside_score,tags,is_my_guy,is_value,is_bust,is_sleeper,is_rookie,is_injury_concern,is_breakout,source_page,source_cheatsheet_id,source_url
2026,2026-08-31,redraft,The Fear Boners,12,QB,29,9,2,9,0.5,18018,Jacoby Brissett,jacoby-brissett,ARI,14,,11,21.03,243,4.7,6,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,30,9,3,9,0.5,21677,Tua Tagovailoa,tua-tagovailoa,ATL,11,,7,20.09,236.5,5.5,4.3,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,31,9,4,9,0.5,26079,Shedeur Sanders,shedeur-sanders,CLE,11,,2,20.08,236.1,8.1,5.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,32,9,5,9,0.5,26740,Fernando Mendoza,fernando-mendoza,LV,13,,0,16.04,183.6,8.8,6.7,rookie,0,0,0,0,1,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,33,9,6,9,0.5,23242,Michael Penix Jr.,michael-penix-jr,ATL,11,,3,19.12,227.9,5.3,4.7,injured,0,0,0,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,34,9,7,9,0.5,14252,Kirk Cousins,kirk-cousins,LV,13,,15,,,8.1,4.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,35,9,8,9,0.5,18857,Deshaun Watson,deshaun-watson,CLE,11,,10,,,9.3,4.3,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,QB,36,9,9,9,0.5,24994,Carson Beck,carson-beck,ARI,14,,0,,,8.5,5.8,rookie,0,0,0,0,1,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,1,1,1,2,1,23200,Jahmyr Gibbs,jahmyr-gibbs,DET,6,,4,1.02,1.9,2,9.8,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,2,1,2,2,1,23189,Bijan Robinson,bijan-robinson,ATL,11,,4,1.02,2.2,1.3,10,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,3,2,1,1,0.94,18877,Christian McCaffrey,christian-mccaffrey,SF,8,,10,1.05,5.4,5.6,9.3,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,4,3,1,2,0.85,21682,Jonathan Taylor,jonathan-taylor,IND,13,,7,1.07,7.2,3.9,9,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,5,3,2,2,0.85,23247,James Cook III,james-cook,BUF,7,,5,1.09,8.6,2.5,8.4,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,6,4,1,3,0.76,24179,De'Von Achane,devon-achane,MIA,6,,4,2.01,13.1,3.8,9.1,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,7,4,2,3,0.76,23214,Kenneth Walker,kenneth-walker-iii,KC,5,,5,2.08,19.9,5,8.2,my_guy|breakout,1,0,0,0,0,0,1,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,8,4,3,3,0.76,24374,Chase Brown,chase-brown,CIN,6,,4,2.05,16.7,4.8,8.4,,0,0,0,0,0,0,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,9,5,1,3,0.68,25956,Omarion Hampton,omarion-hampton,LAC,7,,2,2.03,15.3,4.7,8.7,my_guy|breakout,1,0,0,0,0,0,1,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
2026,2026-08-31,redraft,The Fear Boners,12,RB,10,5,2,3,0.68,25868,Ashton Jeanty,ashton-jeanty,LV,13,,2,2.02,14.2,10,8.7,injured,0,0,0,0,0,1,0,1,250232f4-832f-4d1f-ab0b-5023d71d29af,https://www.thefantasyfootballers.com/2026-ultimate-draft-kit/udk-cheatsheets/
